S,fit,comphet,landscape
3.6,1.50000053200662,0.0131845870703132,1
3.8,2.45714176961504,0.0277749816233195,1
3.8,1.68471541756253,0.0292649012812592,1
4,1.60904698379327,0.027818499522044,1
3.2,2.22052739218829,0.0399348088972919,1
2.2,0.447439128645902,0.0561259306108924,1
2.4,0.52644417884444,0.0401217921342082,1
3,0.730028510834406,0.0327844649394923,1
3,0.592059220537277,0.0109196443224388,1
3,0.643100206048072,0.033175852224236,1
3,0.771096607985085,0.0285284532330696,1
3,0.763389321678863,0.0265547125406805,1
3,0.875501360129521,0.0335040384864293,1
3.2,1.58386077249048,0.0312679187642478,1
3.4,1.27179960056901,0.0206019621353753,1
4,1.15485558738086,0.0235214350786781,1
3.6,1.18226489412088,0.0226773693561974,1
4,1.86388980723876,0.04294565181663,1
3,1.00109325210063,0.0316749743278212,1
2.6,0.705368239635028,0.0414827507826561,1
3,0.930101270490311,0.0154078092321936,1
3,0.918734823513059,0.0214672633315903,1
3,0.901072037624107,0.0101866109874361,1
3,0.673816250732042,0.0094043219094122,1
3,0.748137710503682,0.02969828479762,1
3,0.849729026923638,0.0176561638319712,1
3.2,0.909782283450052,0.0420243299068319,1
3.6,1.03975585219884,0.0365359345488337,1
3.6,1.56298066120123,0.0119717554448768,1
3.4,1.31922361250575,0.0287155794200408,1
3.6,1.46112840165696,0.0457967054409837,1
3,2.52651261399978,0.0418771900940544,1
3,0.762793632214846,0.0221194550025461,1
3,1.0582959375575,0.0316242209414683,1
3,0.871462861169649,0.0153017299708388,1
3,0.696965980864657,0.0211484987500771,1
3,0.65186527026059,0.0207684636598953,1
3,0.82641117847195,0.0393396509829454,1
3,0.791431225660721,0.0424513768695454,1
3.4,0.928616236452204,0.0389514073413709,1
3.8,1.68675012634471,0.0278664117432435,1
4,1.5546608340602,0.0326834971318176,1
3.8,1.62045239790994,0.0256235529698447,1
3.8,1.26478508514508,0.0155667515187542,1
3.6,1.5206255828327,0.0188172942764445,1
3,0.942209104009938,0.0162196518531536,1
3,0.605256617696847,0.0319059467164305,1
3,0.807611487315379,0.0279878661668327,1
3,0.817978363188505,0.022114715611875,1
3,0.619323196120497,0.038471601152884,1
3,1.06420466488795,0.0324515335522387,1
3,1.07232183257213,0.0258224201429392,1
3.2,0.773737957978155,0.0359883749668203,1
3.8,2.82124585003291,0.0304592733278382,1
3.8,1.23719005853698,0.0425464922626874,1
3.6,0.941723856280962,0.035295865128282,1
3.8,2.62557850760118,0.0271607419952135,1
3,0.755769324539383,0.0307752957703051,1
3,0.520197059585453,0.0138602026467861,1
3,0.705664148983173,0.0127164596804467,1
3,0.8038886757295,0.0264374098902172,1
3,0.713935880597009,0.0086112196564004,1
3,0.619649444417499,0.036846814318654,1
2.8,0.54852538537342,0.0341354231269746,1
3,0.86241492584716,0.0250596180323439,1
3.4,0.943894672651244,0.0425986043225973,1
3.4,0.954060982790726,0.0384394309050821,1
4,1.3452528480244,0.0323957422988744,1
3.8,2.13321589261365,0.0406919233531987,1
3.6,1.59797931952806,0.020486954576794,1
3,0.724901993612002,0.0345225408907659,1
3,0.634135063277023,0.00432890877790391,1
3,0.507744797477888,0.0286219256340457,1
3,0.628245954595411,0.0171723725684914,1
3,0.530802011728758,0.0257248624731566,1
3,0.621807198910647,0.0158690289565409,1
3,0.90195148306324,0.0172225999876856,1
3,0.517583745179454,0.0343170385041466,1
3.2,1.65077964631379,0.0452764749543278,1
3.8,1.68989394330536,0.0442912599604943,1
3.8,1.87075769985272,0.0481477807333724,1
3.2,0.977489608715587,0.0411389876172262,1
3.2,1.06472787016253,0.0239285796043463,1
3,0.659058083502648,0.023394667384625,1
3,0.82551035368328,0.0362852303931271,1
3,0.804056571863416,0.01463510297796,1
3,0.853588374839797,0.0200967775497568,1
3,1.00528536890325,0.0140704567766982,1
3,0.717364952283203,0.0267005653485888,1
3,0.692910718813963,0.0236937272144032,1
3,0.555233844995643,0.0251395410407987,1
2.2,1.36127789156254,0.0330075149775152,1
3,1.35640933985498,0.0375153335989475,1
3.6,1.96778187275805,0.0321237078739602,1
3.2,1.09907263423661,0.0218023618096295,1
3,0.821160943816407,0.0142520803112376,1
3,0.799177108008292,0.0269192227962123,1
3,0.689800017156438,0.0311575848047128,1
3,0.738997861120612,0.0385057282023797,1
3,0.998482002359814,0.0150265284045653,1
3,0.785549910998226,0.00923178373639276,1
3,0.883630829538213,0.0193112582250346,1
3,0.676092679625363,0.0161847332236133,1
3,0.537082374551108,0.0126015714607392,1
3,0.581040723679658,0.018363683077285,1
3,1.07800483933633,0.0200454001406968,1
3,0.693855676514775,0.0112908059381299,1
3,0.571299434488163,0.0386479246234054,1
3,0.605244189887472,0.0124943078762925,1
3,0.585764130024854,0.0237590036979369,1
3,0.661269204573625,0.0151555986721281,1
3,0.877846473831262,0.0221758435070891,1
3,0.513303542612791,0.0347595389732704,1
3,0.934453775864513,0.02552861454376,1
3,0.543618674494974,0.0107906767996792,1
3,0.794743542804313,0.0342334962605569,1
3,0.639510772767999,0.0252079297587906,1
3,0.737772772903419,0.00754108669518442,1
3,0.632765397090195,0.0240472029886003,1
3,0.587701356010646,0.0368800494712226,1
3,0.666249477477518,0.043981842449634,1
3,0.671243359915581,0.0154670241762179,1
3,0.806374358895146,0.022152572965063,1
3,0.73949189414813,0.0159117491808753,1
3,0.617942511517768,0.0276300120656047,1
3,0.85808594955498,0.0132107671464265,1
3,0.731635145481823,0.0230092196833747,1
3,0.66685807583258,0.0176389594612332,1
3,0.834470974202532,0.0207858275320966,1
3,0.973377041062694,0.0331766802617432,1
3,0.613558702592799,0.0267140024758635,1
3,0.530852971453272,0.0167670989917718,1
3,0.590313730831332,0.025186163964285,1
2.6,0.750778358128928,0.043017832206078,1
3,0.659816550847948,0.0137614250894722,1
3,0.657027140311042,0.0225030038029048,1
3,0.604654524600826,0.0224313665728128,1
3,0.684886012776387,0.0198806253092981,1
3,0.543786456946683,0.0329282585867888,1
3,0.621260160581412,0.0180673685701225,1
3,0.577652813734819,0.0118327192691294,1
3,0.90231752555532,0.0254137627608502,1
3,0.773492312127667,0.0533847909679689,1
3,0.660796700327923,0.0205970800353667,1
3,0.658399536954509,0.0119430581305054,1
3,0.750728222404751,0.0220138963875398,1
2.6,0.63512992799253,0.0405456867956024,1
2.8,0.51002267488049,0.0505474167957802,1
2.8,0.414775724739152,0.0232297595373511,1
3,0.701332469972353,0.0276450417317419,1
3,0.416832028068571,0.0225759631776909,1
3,0.841150558849366,0.01744346090862,1
3,0.553091263421423,0.00811501700272371,1
3,0.824069981093724,0.0158799345914633,1
3,0.96595570371306,0.0385187717689058,1
3,0.897241468551626,0.0201004881048298,1
3,0.927688945463708,0.0247892488347835,1
3,0.93717495132196,0.0324931044725499,1
